,,,,,,,,,中央銀行,,,一般政府,,,,,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,,,,その他金融機関,,,,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行等及び信託銀行（信託勘定）,,,,,,,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,,,
,,,（a+b+c+ｄ),,, Public Sector,,,,,,,,,Deposit-taking Corporations (b),,,,,,,,,Other Sectors （d),,,,,,,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Bank (a),,,General Government (ｃ),,,,,,Banks（Banking Accounts),,,Trust Banks(Banking Accounts）,,,,,,Other Financial Corporations,,,Banks and Trust banks（Trust Accounts）,,,Banks（Trust Accounts）,,,Trust Banks（Trust Accounts）,,,Financial Instruments Firms,,,Life Insurance Companies,,,Non-Life Insurance Companies,,,Investment Trust Management Companies,,,Others,,
,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
,5月,May,"84,861","77,934","6,927",1,7,-6,-,-,-,-,-,-,"16,033","20,345","-4,312","14,300","18,912","-4,612","1,733","1,434",300,"68,827","57,582","11,245","66,425","50,512","15,913","21,680","19,578","2,102",-,-,-,-,-,-,"15,281","12,110","3,171","14,188","6,417","7,770","1,220",435,785,"14,056","11,972","2,085","2,402","7,070","-4,668"
,6月,Jun,"106,483","114,523","-8,040",0,39,-39,-,-,-,-,-,-,"23,717","31,950","-8,233","20,080","29,305","-9,225","3,637","2,645",992,"82,766","82,534",233,"80,939","75,370","5,569","27,518","26,361","1,157",-,-,-,-,-,-,"17,825","14,532","3,292","16,928","17,655",-726,490,785,-295,"18,178","16,037","2,141","1,827","7,164","-5,337"
,7月,Jul,"114,391","120,989","-6,598",1,11,-11,-,-,-,-,-,-,"36,443","43,889","-7,446","34,482","40,429","-5,948","1,962","3,460","-1,498","77,947","77,089",858,"75,315","70,799","4,517","22,732","22,091",642,-,-,-,-,-,-,"15,952","19,419","-3,467","17,850","13,528","4,322",936,732,204,"17,845","15,029","2,816","2,632","6,290","-3,658"
,8月,Aug,"159,418","166,322","-6,904",0,24,-24,-,-,-,-,-,-,"73,085","80,865","-7,779","64,896","77,770","-12,874","8,189","3,095","5,095","86,332","85,433",899,"82,570","79,546","3,024","28,162","25,537","2,625",-,-,-,-,-,-,"19,220","20,081",-861,"15,294","13,967","1,327",767,"1,866","-1,099","19,127","18,095","1,032","3,762","5,887","-2,125"
,9月,Sep,"151,016","117,982","33,034",0,1,-1,-,-,-,-,-,-,"84,935","51,295","33,640","66,876","36,885","29,990","18,059","14,409","3,650","66,081","66,687",-606,"63,844","61,707","2,138","22,950","21,215","1,735",-,-,-,-,-,-,"14,134","10,749","3,385","9,311","13,665","-4,354",384,311,73,"17,065","15,767","1,299","2,237","4,980","-2,743"
,10月,Oct,"127,708","99,382","28,325",2,0,2,-,-,-,-,-,-,"55,454","36,421","19,033","49,570","32,528","17,042","5,884","3,893","1,992","72,251","62,961","9,290","70,067","58,141","11,926","19,897","18,004","1,893",-,-,-,-,-,-,"14,998","12,919","2,079","13,430","8,432","4,998",819,"1,128",-309,"20,923","17,658","3,265","2,183","4,820","-2,637"
,11月,Nov,"171,503","166,156","5,346",0,0,0,-,-,-,-,-,-,"89,318","92,649","-3,331","77,385","77,238",147,"11,933","15,411","-3,478","82,185","73,507","8,678","79,108","68,534","10,575","24,943","22,721","2,223",-,-,-,-,-,-,"21,046","11,748","9,297","12,533","15,948","-3,414","2,336","1,256","1,080","18,250","16,861","1,389","3,077","4,974","-1,896"
,12月,Dec,"90,473","78,955","11,518",0,0,0,-,-,-,-,-,-,"38,339","24,544","13,796","30,680","21,450","9,230","7,659","3,093","4,566","52,134","54,411","-2,277","50,095","49,398",696,"16,326","15,421",904,-,-,-,-,-,-,"12,885","11,504","1,381","6,227","9,689","-3,463","1,048","1,138",-89,"13,609","11,646","1,963","2,039","5,013","-2,973"
2008,1月,Jan,"162,691","137,458","25,233",1,18,-17,-,-,-,-,-,-,"70,815","53,869","16,945","54,913","43,688","11,225","15,902","10,182","5,720","91,876","83,571","8,305","89,240","79,783","9,458","25,761","24,512","1,250",-,-,-,-,-,-,"18,375","11,051","7,324","22,663","22,283",380,"1,986","2,268",-282,"20,455","19,669",786,"2,636","3,787","-1,152"
,2月,Feb,"131,939","122,494","9,445",0,200,-200,-,-,-,-,-,-,"56,548","52,100","4,448","48,295","45,639","2,657","8,252","6,461","1,792","75,391","70,194","5,197","73,031","65,962","7,071","24,783","21,194","3,589",-,-,-,-,-,-,"17,936","12,198","5,739","8,721","12,770","-4,048","2,611","2,510",101,"18,980","17,290","1,690","2,359","4,232","-1,873"
