ëŒäOèÿåîìäéëÅyãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,,,,ëŒì‡èÿåîìäéëÅyîÒãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,è¨åv,çáåv
Portfolio Investment Assets,,,,,,,,,,,,,,Portfolio Investment Liabilities,,,,,,,,,,,Subtotal,Total
,,,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,ÉlÉbÉg,ÉlÉbÉg
,,,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Net,Net
,,,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,ÅiA-B),(C-D)
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (A),Acquisition,Disposition,Net,Net (C),Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (B),Acquisition,Disposition,Net,Net (D),,
,12åé,Dec,"22,362","8,946","13,416","137,541","139,909","-2,368","11,048","5,841","4,962",879,"11,926","112,800","122,123","-9,323","46,692","52,809","-6,117","-15,440","63,279","105,673","-42,394","-57,834","26,487","69,760"
2009,ÇPåé,Jan,"20,399","9,901","10,498","107,376","94,641","12,735","23,233","5,990","3,592","2,398","25,632","100,078","111,109","-11,031","39,602","43,921","-4,319","-15,350","74,491","78,484","-3,993","-19,342","38,583","44,974"
(ïΩê¨21îN),ÇQåé,Feb,"18,499","10,981","7,518","112,152","76,561","35,591","43,109","6,525","2,579","3,947","47,056","99,262","110,211","-10,949","36,029","37,521","-1,492","-12,441","93,465","72,389","21,076","8,636","55,549","38,420"
,ÇRåé,Mar,"20,039","12,727","7,312","94,501","83,295","11,206","18,518","5,475","5,808",-333,"18,186","122,037","140,872","-18,835","50,216","54,177","-3,961","-22,797","81,754","98,853","-17,098","-39,895","41,315","58,081"
,ÇSåé,Apr,"15,797","14,533","1,265","108,672","104,920","3,752","5,017","4,512","5,716","-1,204","3,813","133,608","129,452","4,157","30,268","36,344","-6,075","-1,919","98,032","91,592","6,440","4,521","6,935",-708
,ÇTåé,May,"18,312","16,282","2,030","94,806","76,320","18,486","20,516","6,854","6,029",825,"21,342","115,992","110,167","5,825","34,827","44,227","-9,399","-3,575","86,995","85,043","1,952","-1,623","24,091","22,964"
,ÇUåé,Jun,"17,847","14,598","3,249","110,280","83,908","26,372","29,621","6,110","7,027",-916,"28,705","144,007","141,397","2,610","52,877","60,254","-7,377","-4,766","98,845","114,352","-15,508","-20,274","34,387","48,979"
,ÇVåé,Jul,"17,312","14,678","2,634","98,773","94,326","4,447","7,081","4,080","4,770",-691,"6,390","134,242","125,502","8,740","39,808","45,322","-5,514","3,226","123,112","113,458","9,654","12,879","3,855","-6,489"
,ÇWåé,Aug,"15,675","16,379",-704,"92,464","86,425","6,039","5,335","5,900","5,213",687,"6,021","124,626","119,279","5,347","35,858","31,972","3,886","9,233","108,037","118,854","-10,817","-1,585","-3,898","7,606"
,ÇXåé,Sep,"17,289","15,388","1,901","101,219","92,613","8,607","10,508","7,575","6,252","1,323","11,831","116,890","118,209","-1,319","43,953","62,655","-18,703","-20,021","97,349","107,319","-9,970","-29,991","30,529","41,821"
,10åé,Oct,"19,476","20,281",-805,"109,613","124,529","-14,917","-15,721","6,684","4,399","2,285","-13,437","128,391","123,075","5,316","49,101","53,140","-4,039","1,277","118,712","108,649","10,064","11,340","-16,998","-24,777"
,11åé,Nov,"15,535","16,571","-1,036","117,046","104,123","12,924","11,887","5,039","3,250","1,789","13,676","110,434","110,704",-269,"42,454","44,843","-2,389","-2,658","107,001","119,691","-12,690","-15,349","14,546","29,025"
,12åé,Dec,"17,050","16,052",998,"99,095","102,681","-3,586","-2,589","4,155","4,978",-823,"-3,412","124,409","113,718","10,692","49,211","59,728","-10,517",174,"113,931","122,645","-8,713","-8,539","-2,763","5,127"
2010,ÇPåé,Jan,"17,129","18,065",-936,"89,576","81,320","8,256","7,320","4,006","5,386","-1,381","5,940","141,485","126,052","15,433","41,694","49,903","-8,210","7,224","108,969","93,444","15,525","22,749",97,"-16,809"
(ïΩê¨22îN),ÇQåé,Feb,"16,256","12,999","3,256","98,222","90,161","8,062","11,318","3,314","3,048",266,"11,584","118,905","116,298","2,608","45,168","38,812","6,356","8,964","95,583","92,258","3,325","12,289","2,354",-704
,ÇRåé,Mar,"19,197","18,532",665,"120,054","107,262","12,792","13,457","5,914","5,747",167,"13,624","136,962","135,578","1,385","61,886","72,664","-10,777","-9,393","110,092","144,472","-34,380","-43,773","22,849","57,397"
,ÇSåé,Apr,"20,408","22,063","-1,654","141,348","136,258","5,090","3,435","4,560","3,926",634,"4,070","160,433","152,369","8,064","66,479","54,154","12,325","20,389","115,384","107,841","7,543","27,932","-16,954","-23,862"
,ÇTåé,May,"23,062","15,639","7,423","158,986","143,940","15,046","22,469","5,230","4,527",703,"23,173","167,738","177,286","-9,548","61,865","62,549",-684,"-10,232","129,999","87,052","42,947","32,715","32,701","-9,542"
,ÇUåé,Jun,"17,265","13,822","3,443","143,189","107,780","35,409","38,852","5,485","6,435",-950,"37,902","147,756","159,606","-11,850","62,526","65,932","-3,406","-15,256","91,244","96,449","-5,205","-20,461","54,108","58,363"
,ÇVåé,Jul,"16,138","13,290","2,848","141,605","94,745","46,860","49,708","6,173","5,030","1,142","50,850","135,252","133,282","1,970","56,624","49,152","7,472","9,441","116,363","102,209","14,154","23,595","40,267","27,255"
,ÇWåé,Aug,"17,951","15,327","2,624","185,448","136,068","49,379","52,003","4,892","3,611","1,281","53,284","131,301","132,351","-1,050","58,492","54,799","3,692","2,642","112,336","115,756","-3,419",-777,"49,361","54,061"
,ÇXåé,Sep,"14,068","15,490","-1,422","151,469","122,939","28,530","27,108","5,894","6,846",-952,"26,155","141,799","144,367","-2,568","72,133","65,043","7,090","4,521","125,459","95,419","30,040","34,561","22,586","-8,406"
,10åé,Oct,"15,433","16,894","-1,460","136,022","112,575","23,446","21,986","5,781","5,854",-73,"21,913","159,571","156,872","2,699","55,564","52,092","3,472","6,171","117,813","107,772","10,042","16,213","15,815","5,700"
,11åé,Nov,"16,381","15,686",695,"101,933","116,938","-15,005","-14,310","4,299","3,768",531,"-13,779","149,864","144,477","5,388","57,179","59,425","-2,246","3,142","127,268","131,890","-4,621","-1,480","-17,451","-12,299"
,12åé,Dec,"12,153","12,651",-498,"103,203","101,640","1,563","1,065","5,048","4,477",571,"1,636","145,033","139,172","5,860","55,490","64,451","-8,960","-3,100","100,275","109,205","-8,931","-12,031","4,165","13,667"
2011,ÇPåé,Jan,"13,531","14,975","-1,443","93,494","80,075","13,419","11,976","3,280","3,815",-535,"11,441","156,423","150,339","6,084","59,801","54,624","5,177","11,261","159,092","106,257","52,835","64,096",715,"-52,655"
(ïΩê¨23îN),ÇQåé,Feb,"13,672","15,575","-1,903","84,038","77,700","6,338","4,435","4,857","4,212",645,"5,080","183,472","173,936","9,536","67,258","60,201","7,057","16,593","119,160","112,379","6,781","23,375","-12,158","-18,295"
,ÇRåé,Mar,"18,333","19,168",-835,"121,078","94,743","26,335","25,500","7,860","8,446",-586,"24,914","282,769","270,950","11,818","83,266","78,279","4,987","16,805","97,272","120,594","-23,322","-6,518","8,695","31,431"
,ÇSåé,Apr,"15,304","20,798","-5,494","97,694","108,015","-10,321","-15,815","4,207","3,414",793,"-15,022","172,272","165,803","6,469","97,061","80,907","16,154","22,623","149,121","139,968","9,154","31,777","-38,438","-46,799"
,ÇTåé,May,"17,351","15,828","1,523","115,860","126,397","-10,537","-9,013","3,464","4,119",-655,"-9,668","153,997","153,609",388,"85,205","58,451","26,753","27,142","124,665","115,625","9,040","36,182","-36,155","-45,850"
,ÇUåé,Jun,"15,603","11,786","3,817","129,841","122,765","7,076","10,893","8,912","8,904",8,"10,901","158,132","160,310","-2,178","82,785","93,784","-10,999","-13,177","115,782","107,987","7,795","-5,382","24,070","16,283"
,ÇVåé,Jul,"16,944","14,375","2,569","111,738","112,788","-1,050","1,519","3,239","2,963",276,"1,795","139,931","137,502","2,430","62,233","63,960","-1,727",703,"144,685","133,503","11,182","11,884",816,"-10,090"
,ÇWåé,Aug,"18,369","12,192","6,177","174,641","177,745","-3,104","3,074","3,903","4,172",-269,"2,805","197,505","212,768","-15,263","77,177","73,342","3,835","-11,429","196,525","135,732","60,793","49,365","14,502","-46,560"
,ÇXåé,Sep,"14,795","11,592","3,203","132,426","101,313","31,113","34,317","5,620","7,715","-2,095","32,222","156,335","165,889","-9,554","74,273","74,472",-199,"-9,753","115,373","101,658","13,714","3,961","44,070","28,261"
,10åé,Oct,"12,833","13,165",-332,"120,438","115,733","4,706","4,374","3,236","3,123",113,"4,486","137,231","136,470",761,"63,800","64,018",-218,542,"123,385","152,162","-28,777","-28,235","3,831","32,721"
,11åé,Nov,"12,073","13,491","-1,418","102,415","115,081","-12,666","-14,084","2,860","3,532",-672,"-14,756","124,116","127,642","-3,525","69,794","75,259","-5,465","-8,990","173,788","144,532","29,256","20,265","-5,093","-35,021"
,12åé,Dec,"9,122","10,208","-1,086","91,422","83,712","7,710","6,624","3,105","5,991","-2,886","3,738","111,901","116,339","-4,438","61,711","61,686",25,"-4,413","125,341","106,396","18,945","14,532","11,037","-10,794"
2012,ÇPåé,Jan,"10,808","14,014","-3,206","106,209","79,011","27,198","23,992","4,317","3,745",572,"24,564","125,049","121,641","3,408","68,077","68,912",-835,"2,573","137,109","132,728","4,381","6,955","21,419","17,609"
(ïΩê¨24îN),ÇQåé,Feb,"14,040","16,638","-2,598","121,819","95,443","26,376","23,778","5,434","4,930",504,"24,282","180,342","173,479","6,864","79,155","78,207",948,"7,811","169,640","162,298","7,342","15,153","15,967","9,129"
,ÇRåé,Mar,"13,550","18,208","-4,658","140,192","130,861","9,331","4,673","4,832","6,192","-1,360","3,313","191,583","188,486","3,097","81,895","100,064","-18,169","-15,072","158,080","170,922","-12,842","-27,914","19,745","31,226"
,ÇSåé,Apr,"14,930","15,291",-361,"132,961","159,135","-26,174","-26,535","4,170","4,791",-621,"-27,155","150,412","150,188",224,"88,981","79,911","9,070","9,294","152,739","145,297","7,443","16,737","-35,829","-43,892"
,ÇTåé,May,"16,239","14,787","1,453","181,019","161,216","19,803","21,256","6,683","6,268",415,"21,671","157,699","163,865","-6,167","73,456","68,246","5,210",-957,"152,881","141,500","11,381","10,424","22,212","11,247"
,ÇUåé,Jun,"13,060","11,258","1,801","171,767","153,222","18,546","20,347","7,038","7,398",-359,"19,988","142,271","143,891","-1,620","76,288","63,940","12,348","10,728","134,142","130,275","3,867","14,595","9,619","5,392"
,ÇVåé,Jul,"10,237","11,437","-1,201","169,357","157,334","12,023","10,822","9,486","8,006","1,480","12,302","130,624","133,139","-2,515","59,518","56,964","2,554",38,"163,591","157,820","5,771","5,809","10,784","6,493"
